title,author,condition,price
Pictures from Italy Charles Dickens (1846),by Iacob Adrian,Very Good,£7.80
Voss,by Patrick White,Very Good,£3.50
To-morrow,by Joseph Conrad,Very Good,£3.49
Lady Chatterley's Lover,by D H Lawrence,Very Good,£12.00
Inspector French: The End of Andrew Harrison,by Freeman Wills Crofts,Like New,£9.99
The Black Ball,by Ralph Ellison,Like New,£3.49
The Rainbow,by D H Lawrence,Very Good,£4.80
Kim,by Rudyard Kipling,Very Good,£3.50
Black No More,by George S. Schuyler,Very Good,£8.99
Treasure Island,by Robert Louis Stevenson,Very Good,£3.50
My Antonia,by Willa Cather,Very Good,£6.90
The Grapes of Wrath,by Mr John Steinbeck,Very Good,£5.70
Pride and Prejudice,by Jane Austen,Very Good,£11.00
The Adventures of Sally,by P.G. Wodehouse,Very Good,£10.40
News from Nowhere,by William Morris,Very Good,£7.40
Jane Eyre (with an Introduction by Mary Augusta Ward),by Charlotte Bronte,Very Good,£5.10
The Code of the Woosters,by P.G. Wodehouse,Like New,£4.00
Gulliver's Travels,by Jonathan Swift,Very Good,£4.80
Notes from the Underground,by Fyodor Mikhailovich Dostoyevsky,Very Good,£11.50
The Picture of Dorian Gray,by Oscar Wilde,New,£14.39
Oliver Twist,by Charles Dickens,Very Good,£4.80
Christmas Classics,by Clement Clarke Moore,Very Good,£9.99
Nineteen Eighty-Four,by George Orwell,Very Good,£5.30
Return of the Native,by Thomas Hardy,Very Good,£7.99
Three Men in a Boat,by Jerome K. Jerome,Very Good,£5.30
The Adventures of Huckleberry Finn (with an Introduction by Brander Matthews),by Mark Twain,Very Good,£6.90
Persuasion,by Jane Austen,Like New,£6.99
Les Miserables,by Victor Hugo,Good,£4.60
Lucy Carmichael,by Margaret Kennedy,Good,£11.30
The Picture of Dorian Gray,by Oscar Wilde,Like New,£6.10
Israel Rank,by E O Higgins,Like New,£10.50
Oliver Twist,by Charles Dickens,Very Good,£3.50
The Improvised Life of Polycarp Jarvis,by Victor Canning,Very Good,£7.60
The Picture of Dorian Gray,by Oscar Wilde,Very Good,£4.30
Evelina,by Frances Burney,Very Good,£8.99
The Tenant of Wildfell Hall,by Anne Bront^De,Very Good,£7.90
Sally on the Rocks,by Winifred Boggs,Like New,£9.90
A Portrait of the Artist as a Young Man,by James Joyce,Very Good,£4.70
The Trail to Reservation,by B N Rundell,Like New,£7.90
Jude the Obscure,by Thomas Hardy,Very Good,£3.50
Walden,by Henry David Thoreau,Very Good,£9.99
The Wind in the Willows,by Kenneth Grahame,Very Good,£4.80
The Picture of Dorian Gray,by Oscar Wilde,Very Good,£7.40
Sofia Petrovna,by Lydia Chukovskaya,Very Good,£15.00
The Adventures of Huckleberry Finn,by Mark Twain,Very Good,£3.50
Lonely Magdalen,by Henry Wade,Very Good,£6.90
A Christmas Carol,by Charles Dickens,Very Good,£3.49
The Christmas Books,by Charles Dickens,Like New,£19.95
Around the World in Eighty Days,by Jules Verne,Very Good,"£6,99"
Lolita,by Vladimir Nabokov,Very Good,"£6,30"
Kim,by Rudyard Kipling,Very Good,"£3,50"
Cannery Row,by Mr John Steinbeck,Very Good,"£8,99"
Nineteen Eighty-Four,by George Orwell,Very Good,"£5,00"
Orlando (Vintage Classics Woolf Series),by Virginia Woolf,Like New,"£6,10"
Notes from Underground and the Double,by Fyodor Dostoyevsky,Well Read,"£7,60"
Jane Eyre,by Charlotte Bronte,New,"£6,79"
Madame Bovary,by Gustave Flaubert,Very Good,"£3,50"
The Short Novels of John Steinbeck (Penguin Classics Deluxe Edition),by Mr John Steinbeck,Very Good,"£25,90"
Beware of Pity,by Stefan Zweig,Very Good,"£9,99"
Mrs Harris Goes to Paris & Mrs Harris Goes to New York,by Paul Gallico,Like New,"£6,10"
Don Quixote,by Miguel De Cervantes,Very Good,"£4,80"
Far from the Madding Crowd,by Thomas Hardy,Very Good,"£3,90"
If On A Winter's Night A Traveller,by Italo Calvino,Very Good,"£3,50"
Fifty-Two Stories,by Anton Chekhov,Like New,"£8,80"
Bleak House,by Charles Dickens,Very Good,"£4,80"
Lorna Doone,by R.D. Blackmore,Very Good,"£3,99"
The Complete Richard Hannay Stories,"by John Buchan, GCMG GCVO CH PC (Govenor General of Canada)",Very Good,"£3,70"
Les Miserables,by Christine Donougher,Very Good,"£9,00"
Howards End,by E. M. Forster,Very Good,"£3,50"
Ulysses,by James Joyce,New,"£18,69"
To Kill A Mockingbird,by Harper Lee,Very Good,"£14,00"
Frankenstein (Pretty Books - Painted Editions),by Mary Shelley,Very Good,"£18,00"
Mansfield Park,by Jane Austen,Very Good,"£3,60"
The Great Gatsby,by F. Scott Fitzgerald,Like New,"£6,20"
The House On The Strand,by Daphne Du Maurier,Very Good,"£4,10"
The Adventures of Huckleberry Finn,by Mark Twain,New,"£7,19"
Catch-22: 50th Anniversary Edition,by Joseph Heller,Very Good,"£3,90"
The Yellow Wall-Paper,by Charlotte Perkins Gilman,Very Good,"£3,49"
"Candide, or Optimism",by Francois Voltaire,Very Good,"£3,50"
Alone in Berlin,by Hans Fallada,Very Good,"£3,80"
The Mill on the Floss,by George Eliot,Very Good,"£3,99"
"Look Homeward, Angel",by Thomas Wolfe,Very Good,"£8,40"
The Razor's Edge,by W. Somerset Maugham,Very Good,"£3,90"
Devil's Cub,by Georgette Heyer,Good,"£5,30"
Some Tame Gazelle,by Barbara Pym,Very Good,"£8,99"
The Great Gatsby,by F. Scott Fitzgerald,Very Good,"£7,99"
The Magic Mountain,by Thomas Mann,Very Good,"£8,40"
Anna Karenina,by Leo Tolstoy,Very Good,"£7,40"
A Room with a View,by E. M. Forster,Very Good,"£3,50"
The Scarlet Letter,by Nathaniel Hawthorne,Very Good,"£3,50"
Berlin Alexanderplatz,by Alfred Doeblin,Very Good,"£7,40"
The Pilgrim's Progress,by John Bunyan,Very Good,"£3,49"
Buddenbrooks,by Thomas Mann,Very Good,"£8,90"
The Arabian Nights (Barnes & Noble Collectible Editions),by Richard Francis Burton,Very Good,"£27,00"
The Life of a Stupid Man,by Ryunosuke Akutagawa,Very Good,"£3,49"
The Woman in White,by Wilkie Collins,Very Good,"£3,99"
The Picture of Dorian Gray,by Oscar Wilde,Very Good,£10.60
The Mayor of Casterbridge,by Thomas Hardy,Very Good,£4.30
The Sea-Wolf,by Jack London,Very Good,£3.50
The Dream Woman,by Wilkie Collins,Like New,£5.00
Lady Audley's Secret,by Mary Elizabeth Braddon,Very Good,£7.50
The Woman in White,by Wilkie Collins,Very Good,£3.80
C'est moi le plus fort,by Mario Ramos,Very Good,£4.80
Monsieur Lecoq,by Emile Gaboriau,Very Good,£10.80
Heidi,by Johanna Spyri,Very Good,£4.60
Nineteen Eighty-Four,by George Orwell,Very Good,£8.99
Utopia,by Saint Thomas More,Like New,£5.60
The Adventures of Sherlock Holmes,by Sir Arthur Conan Doyle,Very Good,£11.20
Little Women,by Louisa Alcott,Very Good,£3.49
The Country of the Pointed Firs,by Sarah Orne Jewett,Very Good,£5.99
Agony and Hope,by Carol S Bowes,Like New,£6.30
Jane Eyre & Wuthering Heights,by Charlotte Bronte,Very Good,£6.30
The Beautiful and Damned,by F. Scott Fitzgerald,Like New,£9.40
Barbara,by Jorgen-Frantz Jacobsen,Very Good,£3.49
The Plague,by Albert Camus,Very Good,£3.50
Wuthering Heights,by Emily Bronte,Very Good,£3.49
The Complete Angler,by Izaak Walton,Very Good,£8.49
The Portrait of a Lady,by Henry James,Very Good,£3.49
One Fateful Night,by Michelle B,Very Good,£15.60
Pride and Prejudice,by Jane Austen,Very Good,£3.50
Buried Alive,by Arnold Bennett,Very Good,£5.60
Night And Day,by Virginia Woolf,Very Good,£4.80
Time and Change,by John Burroughs,Very Good,£6.90
Florence L. Barclay - The Rosary,by Florence L Barclay,Well Read,£3.60
O Mice an Men,by John Steinbeck,Very Good,£11.95
Peregrine Pickle,by Tobias Smollett,Well Read,£5.99
Effi Briest,by William a Cooper,Very Good,£6.60
Mathilda,by Mary Shelley,Very Good,£18.95
The War of the Worlds,by H. G. Wells,Like New,£4.50
Vanity Fair,by William Makepeace Thackeray,Very Good,£4.80
Great Expectations,by Charles Dickens,Very Good,£3.50
First Love,by Ivan Sergeyevich Turgenev,Very Good,£4.80
A Little Princess (AmazonClassics Edition),by Frances Hodgson Burnett,Very Good,£4.99
Pamela,by Samuel Richardson,Very Good,£3.70
Night And Day,by Virginia Woolf,Good,£3.80
Il dottor Zivago,by Boris Pasternak,Very Good,£8.90
