title,author,condition,price
De Blaise Pascal a Henry Hammond,by Paule Jansen,Rare Books,£5.19
Father Abraham's Speech.,by Benjamin Franklin,Rare Books,£5.79
The Environment: A National Mission for the Seventies,by The Editors of Fortune,Rare Books,£6.89
Louis-Philippe and the July Monarchy,by Paul Harold Beik,Rare Books,£6.69
Your Child and You,by Sidonie Gruenberg,Rare Books,£4.89
Modern School Mathematics Book III,by E. J. James,Rare Books,£6.19
Camps and Holidays: for Guide and Ranger Guiders,by Elizabeth Robertson,Rare Books,£6.79
I Maestri del Colore: Albrecht Drurer,by None stated,Rare Books,£5.49
Masters of Colour: Amedeo Modigliani,by None stated,Rare Books,£5.89
"Thespis on Tryal, or The Moralitie of Playes Considered. Bibliotheca Curiosa",by A. C. Gent,Rare Books,£5.09
Curiosities of Medicine,by Richard DiGiacomo Dee,Rare Books,£5.69
Furcraft for the Beginner,by Marion E. Darley,Rare Books,£6.59
Records of the Basketmakers Company Part I,by Henry H. Bobart,Rare Books,£5.49
Daedalus; Spring 1968: Historical Population Studies,by None stated,Rare Books,£5.59
The Nursery Age Child (The Karnac Developmental Psychology Series),by Jenny Davids,Rare Books,£6.49
Miniatures,by D Cregan,Rare Books,£5.09
Weather Work,by None stated,Rare Books,£6.89
Vigilance: A Defence of British Liberty,by Ashley Mote,Rare Books,£5.89
Stamp Collecting for Pleasure and Profit : Just the Book if You are Going to Take Up This Fascinating Hobby.,by Edward H Spire,Rare Books,£6.79
The Scottish Terrier,by Dorothy Gabriel,Rare Books,£5.89
Acol Quiz,by Ben Cohen,Rare Books,£5.89
David Hemingway's Exclusive Routines Part One,by David Hemingway,Rare Books,£5.49
Basic Printing,by P. B. Lindley & D. R. Maggs,Rare Books,£5.29
Adventures in The People Business : The Story of World Book,by William Murray,Rare Books,£6.29
Register of Specialist Collectors of Succulent and Allied Plants,by G.D. Rowley,Rare Books,£5.09
Practical Television Vol 7 No 74,by FJ Camm (ed),Rare Books,£4.89
La Pensee Ouvriere sur L'Education Pendant La Second Republique Et Le Second Empire,by Georges Duveau,Rare Books,£7.19
Comments on Cain,by F. Tennyson Jesse,Rare Books,£6.49
A History of Middlesex Vol V,by T F T Baker,Rare Books,£8.39
Motor Sport,by V L P Davis,Rare Books,£7.39
Manuel De Etudes Literaires Francaises XVIe Siecle,by G. Becker,Rare Books,£5.89
The Choice Library of the Late John D. Eberhardt,by None stated,Rare Books,£7.59
An Invitation to Chess,by I. Chernev,Rare Books,£7.89
Dwellers In Arctic Night,by A. L. Fleming,Rare Books,£7.59
Twilight of Imperial Russia (Oxford Paperbacks),by R. D. Charques,Rare Books,£5.49
Catalogue of Ship-Models,by R. C. Anderson,Rare Books,£6.79
Learn to Dance,by C. Castle,Rare Books,£6.59
The Best Is Yet to Be,by Patience Strong,Rare Books,£6.79
Von Washington Bis Roosevelt,by Hermann Lufft,Rare Books,£5.79
A Glance at Rye's Old Documents,by L. A. Luxmore,Rare Books,£7.39
Outboard Boating and Cruising,by Kenneth Norman,Rare Books,£6.49
Der Europagedanke,by Federico Chabod,Rare Books,£6.99
Raphael's Astronomical Ephemeris of the Planets' Places for 1944,by Raphael,Rare Books,£6.39
Raphael's Astronomical Ephemeris of the Planets' Places for 1949,by Raphael,Rare Books,£6.79
