title,author,condition,price
Bloody Provost,by R.A.J.Tyler,Rare Books,£8.89
Industrial Relations; Contemporary Problems and Perspectives,by B.C. Roberts,Rare Books,£9.99
Clearer Thinking (Logic for Everyman),by A. E. Mander,Rare Books,£11.89
Famous Guns From The Winchester Collection,by Hank Wieand Bowman,Rare Books,£19.39
Persuasive Speaking,by W. George Jehan,Rare Books,£18.39
Population Process in School Systems,by James M. Beshers,Rare Books,£19.69
Modern Capitalism: The Changing Balance of Public and Private Power,by Andrew Shonfield,Rare Books,£11.29
Fortitude South: Kent's Wartime Deception,by John Reymond,Rare Books,£7.29
Bridges At Toko Ri,by James A.Michener,Rare Books,£11.99
Military Unions,by Various,Rare Books,£7.49
The Psychology Of Unbelief: Character And Temperament In Relation To Unbelief,by Dr. H. C. Rumke,Rare Books,£9.69
Economic Basis of Politics & Related Writoingd,by C.A. Beard,Rare Books,£7.89
The Barns Experiment,by W. David Wills,Rare Books,£8.29
Politics and Government at Home and Abroad,by William A. Robson,Rare Books,£7.89
Elements of Experimental Psychology,by Jules de La Vaissire,Rare Books,£17.59
Operation Pedestal,by Max Hastings,Rare Books,£18.69
British Railways and Economic Recovery,by Kenneth H. Johnston,Rare Books,£9.59
The Radical General,by Roger Broad,Rare Books,£10.19
Victory,by Winston S Churchill,Rare Books,£6.09
China! Inside the People's Republic,by Committee of Concerned Asian Scholars,Rare Books,£6.19
"The Government of the United States: National, State, and Local",by William Bennett Munro,Rare Books,£9.99
Afrika Korps,by Major K.J. Macksey,Rare Books,£5.39
Working Days,by Margaret A. Pollock,Rare Books,£11.79
Get It Together: Why We Deserve Better Politics,by Zoe Williams,Rare Books,£8.89
Ego Psychology and Dynamic Casework,by H.J. Parad (ed.),Rare Books,£10.49
One-upmanship,by Stephen Potter,Rare Books,£4.39
Bombers,by C.G.Grey,Rare Books,£7.09
The History of the Great War Volume III,by Newman Flower,Rare Books,£6.99
Social Demography,by Various s,Rare Books,£7.49
The Speeches Of The Late Right Honourable Sir Robert Peel Volume III 1835-1842,by Unstated,Rare Books,£11.79
Reflections: Conversations with Politicians,by Peter Hennessy and Robert Shepherd,Rare Books,£27.59
Won in Warfare,by Chas R.Kenyon,Rare Books,£8.89
As I Was Saying...,by Anthony Mann,Rare Books,£5.99
"The Korean War: The Story of the Fighting Commonwealth Regiments, 1950-53",by Tim Carew,Rare Books,£12.59
Some Ethical Questions of Peace and War with Special Reference to Ireland,by W. McDonald,Rare Books,£6.89
Parliamentary Comments,by Sir Hildred Carlile,Rare Books,£11.79
People and Constitution (Oxford Paperbacks),by C.S.Emden,Rare Books,£12.99
America the Beautiful,by John F. Kennedy,Rare Books,£12.59
The History of the TUC 1868-1968: A Pictorial Survey of a Social Revolution -,by L. Birch,Rare Books,£13.79
Mao Tse-Tung: An Anthology of His Writings -,by Anne Fremantle,Rare Books,£17.29
Lancaster: The Forging of a Very British Legend,by John Nichol,Rare Books,£26.99
Introductory Lectures on Political Economy,by Richard Whately,Rare Books,£28.49
